,tripyear,tripmonth,tripday,count
0,2011,1,1,183030
1,2011,1,2,158706
2,2011,1,3,374927
3,2011,1,4,407012
4,2011,1,5,439070
5,2011,1,6,476390
6,2011,1,7,486988
7,2011,1,8,500272
8,2011,1,9,451117
9,2011,1,10,449946
10,2011,1,11,471811
11,2011,1,12,361127
12,2011,1,13,488565
13,2011,1,14,512868
14,2011,1,15,485503
15,2011,1,16,446699
16,2011,1,17,386391
17,2011,1,18,442217
18,2011,1,19,477235
19,2011,1,20,501964
20,2011,1,21,504589
21,2011,1,22,541375
22,2011,1,23,469484
23,2011,1,24,443065
24,2011,1,25,451381
25,2011,1,26,410620
26,2011,1,27,315655
27,2011,1,28,450996
28,2011,1,29,508017
29,2011,1,30,443204
30,2011,1,31,424772
31,2011,2,1,28234
32,2011,2,2,27872
33,2011,2,3,33223
34,2011,2,4,34885
35,2011,2,5,35832
36,2011,2,6,30238
37,2011,2,7,40597
38,2011,2,8,45979
39,2011,2,9,48798
40,2011,2,10,50606
41,2011,2,11,52115
42,2011,2,12,54406
43,2011,2,13,45784
44,2011,2,14,31410
45,2011,2,15,33670
46,2011,2,16,32563
47,2011,2,17,32477
48,2011,2,18,33632
49,2011,2,19,35952
50,2011,2,20,30269
51,2011,2,21,26100
52,2011,2,22,30545
53,2011,2,23,31890
54,2011,2,24,33045
55,2011,2,25,35418
56,2011,2,26,34637
57,2011,2,27,28902
58,2011,2,28,28521
59,2011,3,1,498985
60,2011,3,2,531705
61,2011,3,3,555658
62,2011,3,4,576062
63,2011,3,5,562352
64,2011,3,6,502110
65,2011,3,7,479212
66,2011,3,8,511207
67,2011,3,9,537897
68,2011,3,10,541403
69,2011,3,11,557379
70,2011,3,12,565030
71,2011,3,13,464156
72,2011,3,14,459835
73,2011,3,15,507174
74,2011,3,16,520115
75,2011,3,17,514167
76,2011,3,18,574200
77,2011,3,19,568994
78,2011,3,20,485327
79,2011,3,21,456000
80,2011,3,22,483775
81,2011,3,23,522281
82,2011,3,24,529221
83,2011,3,25,557701
84,2011,3,26,558896
85,2011,3,27,466137
86,2011,3,28,443179
87,2011,3,29,490832
88,2011,3,30,504851
89,2011,3,31,540509
90,2011,4,1,36266
91,2011,4,2,28775
92,2011,4,3,26404
93,2011,4,4,51369
94,2011,4,5,64191
95,2011,4,6,49742
96,2011,4,7,48971
97,2011,4,8,46651
98,2011,4,9,44607
99,2011,4,10,42415
100,2011,4,11,29348
101,2011,4,12,32854
102,2011,4,13,33320
103,2011,4,14,33499
104,2011,4,15,35851
105,2011,4,16,36055
106,2011,4,17,28752
107,2011,4,18,29931
108,2011,4,19,31054
109,2011,4,20,32523
110,2011,4,21,33553
111,2011,4,22,33970
112,2011,4,23,32521
113,2011,4,24,30383
114,2011,4,25,55899
115,2011,4,26,62991
116,2011,4,27,64260
117,2011,4,28,65092
118,2011,4,29,69753
119,2011,4,30,67883
120,2011,5,1,473899
121,2011,5,2,479236
122,2011,5,3,503275
123,2011,5,4,539514
124,2011,5,5,541380
125,2011,5,6,561132
126,2011,5,7,528998
127,2011,5,8,448546
128,2011,5,9,460656
129,2011,5,10,509305
130,2011,5,11,520892
131,2011,5,12,539772
132,2011,5,13,562697
133,2011,5,14,557750
134,2011,5,15,481463
135,2011,5,16,493934
136,2011,5,17,532811
137,2011,5,18,519183
138,2011,5,19,539842
139,2011,5,20,554476
140,2011,5,21,539651
141,2011,5,22,484602
142,2011,5,23,474504
143,2011,5,24,510123
144,2011,5,25,518432
145,2011,5,26,520040
146,2011,5,27,508026
147,2011,5,28,443284
148,2011,5,29,393415
149,2011,5,30,351394
150,2011,5,31,462636
151,2011,6,1,514961
152,2011,6,2,525586
153,2011,6,3,537879
154,2011,6,4,521288
155,2011,6,5,447307
156,2011,6,6,477033
157,2011,6,7,521681
158,2011,6,8,543169
159,2011,6,9,545633
160,2011,6,10,542323
161,2011,6,11,536703
162,2011,6,12,434022
163,2011,6,13,466033
164,2011,6,14,498734
165,2011,6,15,513931
166,2011,6,16,536628
167,2011,6,17,529061
168,2011,6,18,517492
169,2011,6,19,442999
170,2011,6,20,457009
171,2011,6,21,496175
172,2011,6,22,519225
173,2011,6,23,523643
174,2011,6,24,538492
175,2011,6,25,512753
176,2011,6,26,439888
177,2011,6,27,456836
178,2011,6,28,490144
179,2011,6,29,504271
180,2011,6,30,506962
181,2011,7,1,476534
182,2011,7,2,381582
183,2011,7,3,331272
184,2011,7,4,310280
185,2011,7,5,424741
186,2011,7,6,470577
187,2011,7,7,505784
188,2011,7,8,519585
189,2011,7,9,479097
190,2011,7,10,433359
191,2011,7,11,451373
192,2011,7,12,502464
193,2011,7,13,507784
194,2011,7,14,518011
195,2011,7,15,529274
196,2011,7,16,499358
197,2011,7,17,449374
198,2011,7,18,469451
199,2011,7,19,494873
200,2011,7,20,508813
201,2011,7,21,549537
202,2011,7,22,554099
203,2011,7,23,515998
204,2011,7,24,451457
205,2011,7,25,450257
206,2011,7,26,483496
207,2011,7,27,497998
208,2011,7,28,518406
209,2011,7,29,525334
210,2011,7,30,487922
211,2011,7,31,444471
212,2011,8,1,453134
213,2011,8,2,489837
214,2011,8,3,514042
215,2011,8,4,501436
216,2011,8,5,513817
217,2011,8,6,482363
218,2011,8,7,418949
219,2011,8,8,431148
220,2011,8,9,466284
221,2011,8,10,487146
222,2011,8,11,500648
223,2011,8,12,504845
224,2011,8,13,469428
225,2011,8,14,222035
226,2011,8,15,428099
227,2011,8,16,471369
228,2011,8,17,488697
229,2011,8,18,504280
230,2011,8,19,496141
231,2011,8,20,450004
232,2011,8,21,228315
233,2011,8,22,403936
234,2011,8,23,443809
235,2011,8,24,467486
236,2011,8,25,488317
237,2011,8,26,487789
238,2011,8,27,208398
239,2011,8,28,29028
240,2011,8,29,334767
241,2011,8,30,414473
242,2011,8,31,462421
243,2011,9,1,480158
244,2011,9,2,485219
245,2011,9,3,456817
246,2011,9,4,415971
247,2011,9,5,357241
248,2011,9,6,465645
249,2011,9,7,499146
250,2011,9,8,522590
251,2011,9,9,502873
252,2011,9,10,527145
253,2011,9,11,456827
254,2011,9,12,463483
255,2011,9,13,508386
256,2011,9,14,526982
257,2011,9,15,525471
258,2011,9,16,539618
259,2011,9,17,551476
260,2011,9,18,476211
261,2011,9,19,446868
262,2011,9,20,453379
263,2011,9,21,463695
264,2011,9,22,501147
265,2011,9,23,509316
266,2011,9,24,541956
267,2011,9,25,469903
268,2011,9,26,458222
269,2011,9,27,492595
270,2011,9,28,499160
271,2011,9,29,494529
272,2011,9,30,534719
273,2011,10,1,537727
274,2011,10,2,456650
275,2011,10,3,462818
276,2011,10,4,487802
277,2011,10,5,510158
278,2011,10,6,530851
279,2011,10,7,539301
280,2011,10,8,532627
281,2011,10,9,472750
282,2011,10,10,418498
283,2011,10,11,481431
284,2011,10,12,516334
285,2011,10,13,535782
286,2011,10,14,547146
287,2011,10,15,559275
288,2011,10,16,486136
289,2011,10,17,460319
290,2011,10,18,494946
291,2011,10,19,496719
292,2011,10,20,520448
293,2011,10,21,552267
294,2011,10,22,551842
295,2011,10,23,480998
296,2011,10,24,467990
297,2011,10,25,495859
298,2011,10,26,512056
299,2011,10,27,523077
300,2011,10,28,546441
301,2011,10,29,587917
302,2011,10,30,487256
303,2011,10,31,454335
304,2011,11,1,517114
305,2011,11,2,502914
306,2011,11,3,529937
307,2011,11,4,556386
308,2011,11,5,564543
309,2011,11,6,442365
310,2011,11,7,459814
311,2011,11,8,494495
312,2011,11,9,513958
313,2011,11,10,528337
314,2011,11,11,533314
315,2011,11,12,532126
316,2011,11,13,462245
317,2011,11,14,460380
318,2011,11,15,491805
319,2011,11,16,498245
320,2011,11,17,530615
321,2011,11,18,546783
322,2011,11,19,555001
323,2011,11,20,464152
324,2011,11,21,457008
325,2011,11,22,468358
